name,cuisine,airport_count,airports,example_airport
BENITORA Xiao Chi,,1,NRT,NRT
Bercos,,1,DEL,DEL
Berghoff Cafe,,1,ORD,ORD
Berkshire Farms Market,,1,BOS,BOS
Berlucchi,,1,FCO,FCO
Best Ugly Bagels,,1,WLG,WLG
Best Worscht in Town,,1,FRA,FRA
Betcha Burgers & Bar,burger,1,LAX,LAX
Betelsweet,,1,MAD,MAD
Betty's Burgers,burger,1,SYD,SYD
Bewley's,,1,DUB,DUB
Bi Bar,,1,IST,IST
Bi Coffee,,1,IST,IST
Bi Coffee & Bi Bar,,1,IST,IST
Big Smoke,,1,LGW,LGW
Biggie Smalls,,1,MEL,MEL
Bikanervala,indian,1,SIN,SIN
Billy Goat Tavern and Grill,,1,ORD,ORD
Bira 91 Taproom,,1,BOM,BOM
Birch Coffee / H&H Bagels / Rossi Pizzeria,,1,LGA,LGA
Birds of Paradise,,1,SIN,SIN
Birra Moretti Bar,,1,AMS,AMS
Biryani Blues,,1,DEL,DEL
